Taxon,migration_m,migr_sterr_m,shift + 2SE,signif_shift,signif_shift2,StorageOrgan,ReprModeCode,flwr_mo_start,flwr_mo_end,flwr_dur_mos,earliest_seed_shed_mo,latest_seed_shed_mo,seed_shed_dur_mos,SI01,BreedSysCode,seed_mass_mg,diaspore_mass_mg,dispersal_mode,dispmode01,diaspore_min_len_mm,diaspore_max_len_mm,diaspore_ave_len_mm,Min_seed_shed_ht_m,Max_seed_shed_ht_m,Ave_seed_shed_ht_m,Grime,nichebreadth_num_flor_zones,oceanity,nichebreadth_amplit_ocean,Bio1_mean_nosyn,Bio1_std_nosyn,Bio1_var_nosyn,Bio1_mean_inclsyn,Bio1_std_inclsyn,Bio1_var_inclsyn,Nbound_lat_GBIF_nosyn,DispModeEng,GenTime,Resil,MaxAlt
Salix_serpyllifolia,1.4,1.5,-1.6,0,0,0,2,7,8,2,NA,NA,NA,1,1,0.26,0.26,wind,1,NA,NA,NA,NA,NA,NA,s,2,so,3,1.94795,0.662912607,0.439453125,1.94795,0.662912607,0.439453125,47.71,NA,NA,NA,NA
Saussurea_alpina,-2.1,NA,NA,NA,NA,0,2,7,9,3,9,10,2,NA,NA,1.9,1.9,wind,1,14,16,15,0.05,0.4,0.225,csr,4,ks,4,0.427561364,2.14189387,4.58770935,0.427561364,2.14189387,4.58770935,71.1564,NA,NA,NA,NA
Saxifraga_aizoides,6.8,NA,NA,NA,NA,1,2,6,9,4,3,10,8,0,3,0.05,0.05,gravity,0,0.7,1.1,0.9,0.03,0.3,0.165,s,2,os,4,-0.02877184,1.994821153,3.979311431,-0.02877184,1.994821153,3.979311431,71.1566,1,3,5,2000
Saxifraga_androsacea,1.3,5.5,-9.7,0,0,1,1,6,8,3,8,11,4,0,3,0.6,0.6,gravity,0,0.5,0.6,0.55,0.01,0.1,0.055,s,2,sos,4,4.928793939,1.699227244,2.887373227,4.928793939,1.699227244,2.887373227,47.7761,1,2,5,3132
Saxifraga_aphylla,2.5,4.5,-6.5,0,0,1,1,7,9,3,8,11,4,0,2,NA,NA,gravity,0,1,1,1,0.01,0.03,0.02,s,1,so,3,1.48082,1.768731514,3.128411167,-0.79456223,2.882216563,8.307172317,47.6572,NA,NA,NA,NA
Saxifraga_bryoides,0,0,0,0,0,0,2,7,8,2,NA,NA,NA,0,2,0,0,wind,1,0.5,0.7,0.6,0.01,0.08,0.045,s,2,o,2,1.56547619,1.168201246,1.364694152,1.56547619,1.168201246,1.364694152,47.3084,NA,NA,NA,NA
Saxifraga_caesia,5.3,0.5,4.3,1,1,0,1,6,9,4,9,10,2,0,2,0,0,gravity,0,0.5,0.6,0.55,0.05,0.1,0.075,s,2,so,3,0.730615787,2.772335448,7.685843839,0.730615787,2.772335448,7.685843839,47.6667,NA,NA,NA,2300
Saxifraga_exarata,-5.8,NA,NA,NA,NA,0,2,6,8,3,NA,NA,NA,0,2,0,0,gravity,0,0.5,0.7,0.6,NA,NA,NA,s,2,sos,4,-0.9,0.384374674,0.14774389,-0.9,0.384374674,0.14774389,47.2519,NA,NA,NA,NA
Saxifraga_muscoides,0.4,0.4,-0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gravity,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.316147064,3.071766639,9.435750286,-1.278731361,3.099540684,9.607152452,48.2333,NA,NA,NA,NA
Saxifraga_oppositifolia,2.2,1.9,-1.6,0,0,1,1,2,6,5,6,11,6,0,2,0.11,0.11,gravity,0,0.8,1.5,1.15,0.03,0.25,0.14,s,4,os,4,1.513326667,1.185526586,1.405473286,1.513326667,1.185526586,1.405473286,71.1691,1,3,5,3353
Saxifraga_paniculata,-5.7,2,-1.7,-1,0,1,2,6,7,2,7,3,9,0,2,0.1,0.1,NA,NA,0.6,1,0.8,0.15,0.3,0.225,csr,4,os,4,1.302075,1.652539404,2.730886483,1.302075,1.652539404,2.730886483,59.5632,4,3,5,2500
Saxifraga_seguieri,7.6,4.1,-0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wind,1,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,-0.016360728,2.082104111,4.335157529,-0.016360728,2.082104111,4.335157529,47.0607,NA,NA,NA,NA
Saxifraga_stellaris,2.1,NA,NA,NA,NA,0,2,5,8,4,8,10,3,0,2,0.04,0.04,gravity,0,0.5,0.8,0.65,0.05,0.1,0.075,s,4,so,3,1.53584,1.376828614,1.895657032,1.53584,1.376828614,1.895657032,71.1691,NA,NA,NA,2600
Sedum_alpestre,1.7,1.1,-0.5,0,0,1,2,6,8,3,9,10,2,0,3,NA,NA,gravity,0,0.5,0.5,0.5,0.03,0.08,0.055,s,2,o,2,2.260166667,1.545999566,2.390114658,7.035391627,2.821678625,7.961870262,47.1559,NA,NA,NA,NA
Sedum_atratum,-0.6,0.9,1.2,0,0,1,1,6,8,3,8,10,3,0,4,NA,NA,gravity,0,0.5,0.8,0.65,0.03,0.08,0.055,sr,2,o,2,1.82085,2.592748435,6.722344445,1.82085,2.592748435,6.722344445,47.6792,1,1,0,NA
Sempervivum_montanum,-1,1,1,0,0,NA,NA,NA,NA,NA,8,11,4,NA,NA,NA,NA,gravity,0,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1.74001,1.337874734,1.789908803,1.74001,1.337874734,1.789908803,61.5994,NA,NA,NA,NA
Senecio_incanus,4.6,3.3,-2,0,0,0,2,7,9,3,8,10,3,NA,NA,0.8,0.8,wind,1,6,8,7,NA,NA,NA,csr,2,sos,4,1.0380375,0.680587987,0.463200008,1.0380375,0.680587987,0.463200008,47.6333,NA,NA,NA,NA
Sesleria_caerulea,0.7,2.8,-4.9,0,0,NA,NA,NA,NA,NA,5,10,6,NA,NA,2.3,2.3,wind,1,4,5,4.5,0.1,0.5,0.3,NA,NA,NA,NA,1.775925412,3.338186238,11.14348736,1.775925412,3.338186238,11.14348736,60.2295,6,2,5,NA
Sibbaldia_procumbens,3.9,4,-4.1,0,0,1,2,6,8,3,3,11,9,0,2,0.46,0.46,animal,1,1,1.5,1.25,0.02,0.05,0.035,s,5,os,4,5.756799029,2.189225107,4.792706567,0.568622841,2.635160706,6.944071948,71.1691,NA,NA,NA,5000
Silene_acaulis,-1.2,5.7,10.2,0,0,0,1,6,9,4,8,10,3,0,2,0.29,0.29,gravity,0,0.9,1.5,1.2,0.02,0.06,0.04,s,4,os,4,-0.652260568,2.941961744,8.655138902,-0.652260568,2.941961744,8.655138902,79.95,1,5,5,3744
Silene_exscapa,-0.2,1.4,2.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gravity,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4125,1.485942696,2.208025695,1.4125,1.485942696,2.208025695,47.46,NA,NA,NA,NA
Solidago_virgaurea,3.1,NA,NA,NA,NA,0,2,7,10,4,9,12,4,1,1,0.49,0.49,wind,1,7,8,7.5,0.1,1.25,0.675,c,6,NA,NA,2.3497,1.216903235,1.480853483,2.3497,1.216903235,1.480853483,71.1517,3,2,5,NA
Taraxacum_alpinum,2.7,0.6,1.5,1,1,1,1,6,9,4,NA,NA,NA,1,1,0.45,0.45,wind,1,9.5,15.5,12.5,NA,NA,NA,csr,3,so,3,-2.739963253,5.31148259,28.21184731,-2.838743452,5.357683548,28.704773,47.65,5,2,5,NA
Trisetum_distichophyllum,0,NA,NA,NA,NA,0,2,7,8,2,8,10,3,NA,NA,NA,NA,wind,1,5,7,6,0.1,0.2,0.15,cs,2,so,3,3.216633333,1.392520945,1.939114583,3.216633333,1.392520945,1.939114583,46.9622,NA,NA,NA,NA
Trisetum_spicatum,7,4.4,-1.8,0,0,0,2,7,8,2,9,10,2,0,4,0.38,0.38,wind,1,3,4,3.5,0.1,0.2,0.15,csr,7,NA,NA,2.385371111,1.843949602,3.400150135,2.385371111,1.843949602,3.400150135,82.25,NA,NA,NA,NA
Veronica_alpina,6.1,2.9,0.3,1,1,0,2,7,8,2,7,12,6,0,4,0.05,0.2,gravity,0,0.7,1,0.85,0.03,0.15,0.09,csr,4,o,2,2.5925,1.25776469,1.581972015,2.5925,1.25776469,1.581972015,71.1678,1,2,5,3658
Veronica_aphylla,-0.5,1.2,1.9,0,0,0,2,6,8,3,8,10,3,0,4,NA,NA,gravity,0,1.5,1.5,1.5,0.03,0.08,0.055,s,2,so,3,3.45344,2.598499878,6.752201614,3.45344,2.598499878,6.752201614,47.8167,1,2,5,NA
Veronica_bellidioides,1.5,2.6,-3.7,0,0,0,2,7,8,2,9,12,4,0,4,NA,NA,gravity,0,1,1.5,1.25,0.05,0.2,0.125,csr,2,o,2,-3.018789172,4.8001617,23.04155234,-3.018789172,4.8001617,23.04155234,47.3512,NA,NA,NA,NA
Veronica_fruticans,6.9,NA,NA,NA,NA,1,2,6,8,3,8,12,5,0,4,0.12,0.12,gravity,0,1,1.5,1.25,0.05,0.15,0.1,s,4,o,2,1.262502857,1.984733486,3.93916701,1.262502857,1.984733486,3.93916701,71.0761,NA,NA,NA,3450
Viola_calcarata,-3.1,1,-1.1,-1,0,1,2,6,7,2,8,10,3,0,3,NA,NA,gravity,0,2.1,2.1,2.1,0.04,0.1,0.07,s,2,so,3,1.5179,1.221128321,1.491154376,1.5179,1.221128321,1.491154376,47.2788,3,2,5,NA
